name,stra.1,stra.15,stra.20,stra.33,stra.65,stra.69,stra.71,stra.100,stra.129,stra.131,stra.135,stra.138,stra.165,stra.195,stra.197,stra.205,stra.229,stra.233,stra.237,stra.257,
2406,0.836757,3.47001e-28,0,0.0902186,0.0280166,0.000890799,2.0979e-07,0,2.90024e-08,1.61449e-11,3.56727e-79,0,2.81023e-50,1.93688e-39,0.0440705,1.88017e-28,3.88045e-05,8.9938e-16,6.23398e-21,3.78774e-31,
2407,0.83676,3.19731e-28,0,0.0902117,0.0280167,0.000890865,1.92895e-07,0,2.90023e-08,1.51676e-11,3.27681e-79,0,2.80883e-50,1.8153e-39,0.0440747,1.88042e-28,3.87278e-05,9.03103e-16,6.22616e-21,3.78756e-31,
2408,0.836762,2.94605e-28,0,0.0902047,0.0280168,0.000890931,1.77361e-07,0,2.90023e-08,1.42495e-11,3.01e-79,0,2.80743e-50,1.70134e-39,0.044079,1.88066e-28,3.86513e-05,9.06841e-16,6.21835e-21,3.78739e-31,
2409,0.836765,2.71453e-28,0,0.0901978,0.0280169,0.000890997,1.63079e-07,0,2.90022e-08,1.3387e-11,2.76492e-79,0,2.80603e-50,1.59454e-39,0.0440832,1.88091e-28,3.8575e-05,9.10595e-16,6.21056e-21,3.78721e-31,
2410,0.836768,2.50122e-28,0,0.0901908,0.028017,0.000891064,1.49946e-07,0,2.90022e-08,1.25767e-11,2.5398e-79,0,2.80463e-50,1.49445e-39,0.0440875,1.88115e-28,3.8499e-05,9.14366e-16,6.20279e-21,3.78704e-31,
2411,0.83677,2.30466e-28,0,0.0901839,0.0280171,0.00089113,1.37871e-07,0,2.90021e-08,1.18154e-11,2.333e-79,0,2.80323e-50,1.40064e-39,0.0440917,1.8814e-28,3.84232e-05,9.18152e-16,6.19504e-21,3.78686e-31,
2412,0.836773,2.12356e-28,0,0.0901769,0.0280172,0.000891196,1.26769e-07,0,2.90021e-08,1.11003e-11,2.14305e-79,0,2.80184e-50,1.31272e-39,0.0440959,1.88165e-28,3.83475e-05,9.21954e-16,6.18732e-21,3.78669e-31,
2413,0.836776,1.95669e-28,0,0.0901699,0.0280173,0.000891263,1.16561e-07,0,2.9002e-08,1.04284e-11,1.96856e-79,0,2.80044e-50,1.23031e-39,0.0441002,1.88189e-28,3.82721e-05,9.25773e-16,6.17961e-21,3.78652e-31,
2414,0.836778,1.80293e-28,0,0.090163,0.0280174,0.000891329,1.07175e-07,0,2.9002e-08,9.79712e-12,1.80828e-79,0,2.79905e-50,1.15309e-39,0.0441044,1.88214e-28,3.81969e-05,9.29608e-16,6.17192e-21,3.78634e-31,
2415,0.836781,1.66126e-28,0,0.090156,0.0280174,0.000891396,9.85449e-08,0,2.9002e-08,9.2041e-12,1.66105e-79,0,2.79765e-50,1.0807e-39,0.0441087,1.88239e-28,3.81219e-05,9.33459e-16,6.16425e-21,3.78617e-31,
2416,0.836784,1.53072e-28,0,0.0901491,0.0280175,0.000891462,9.06098e-08,0,2.90019e-08,8.64697e-12,1.52581e-79,0,2.79626e-50,1.01287e-39,0.0441129,1.88263e-28,3.80471e-05,9.37326e-16,6.1566e-21,3.78599e-31,
2417,0.836786,1.41044e-28,0,0.0901421,0.0280176,0.000891528,8.33138e-08,0,2.90019e-08,8.12356e-12,1.40159e-79,0,2.79487e-50,9.49288e-40,0.0441172,1.88288e-28,3.79725e-05,9.4121e-16,6.14896e-21,3.78582e-31,
2418,0.836789,1.29961e-28,0,0.0901352,0.0280177,0.000891595,7.66053e-08,0,2.90018e-08,7.63184e-12,1.28747e-79,0,2.79348e-50,8.897e-40,0.0441214,1.88313e-28,3.78981e-05,9.4511e-16,6.14135e-21,3.78565e-31,
