CURE,Memory-one
2.04197751,2.04198556
2.14018385,2.14019125
2.20886177,2.20886962
2.25975069,2.25975814
2.29889472,2.29890232
2.33010713,2.33011473
2.35537953,2.35538693
2.37437898,2.37438623
1.16640643,1.16641743
1.73421404,1.73422289
1.99857151,1.99857946
2.13894656,2.13895496
2.22611438,2.22612163
2.28510804,2.28511584
2.32831123,2.32831823
2.36106826,2.36107626
2.3867281,2.3867359
2.40744599,2.40745339
2.42292129,2.42292794
1.23803787,1.23804812
1.89004261,1.89005091
2.13609571,2.13610351
2.25504762,2.25505522
2.3253519,2.32535975
2.37180112,2.37180847
2.4046432,2.4046508
2.42929002,2.42929757
2.4484427,2.4484501
2.4636851,2.46369245
2.47503859,2.47504599
1.40483631,1.40484571
2.12877166,2.12877946
2.31738404,2.31739109
2.39781946,2.39782691
2.44213491,2.44214236
2.47051208,2.47051978
2.49021241,2.49021971
2.50466346,2.50467076
2.515783,2.5157903
2.52446782,2.52447562
2.5309811,2.53098815
2.04761552,2.04762357
2.48489752,2.48490442
2.53725139,2.53725814
2.55627329,2.55628009
2.56615559,2.56616249
2.5723497,2.57235715
2.57645485,2.5764616
2.57949146,2.57949866
2.5818275,2.5818345
2.58371247,2.58371927
2.58507401,2.58508116
1.05388031,1.05389616
1.34415179,1.34416119
1.56167509,1.56168429
1.71567755,1.7156862
1.83023307,1.83024147
1.91883435,1.9188427
1.98966861,1.98967656
2.04735993,2.04736828
2.09538268,2.09539033
2.135857,2.13586515
2.16735828,2.16736633
1.0601791,1.0601961
1.37136106,1.37137116
1.59721747,1.59722622
1.75356069,1.75356879
1.86858468,1.86859353
1.95627399,1.95628214
2.02560336,2.02561176
2.08167751,2.08168621
2.12818705,2.1281945
2.16712474,2.16713244
2.19729286,2.19730036
1.06873996,1.06875366
1.40626129,1.40627094
1.64224817,1.64225707
1.80123518,1.80124363
1.91518751,1.91519551
2.00134632,2.00135482
2.06851821,2.06852606
2.12258138,2.12258958
2.16685306,2.16686086
2.20383964,2.20384769
2.23236746,2.23237496
1.07974863,1.07976263
1.44856517,1.44857477
1.69413473,1.69414368
1.85446286,1.85447136
1.96722746,1.96723586
2.05084149,2.05084974
2.11526819,2.11527564
2.16655446,2.16656251
2.20833733,2.20834493
2.24299406,2.24300176
2.26949991,2.26950706
1.09367411,1.09368801
1.50036512,1.50037452
1.75546181,1.75547081
1.91570114,1.91570934
2.02536446,2.02537281
2.10535079,2.10535889
2.16607928,2.16608673
